,Olympiad_Participation,Scholarship,School,Fav_sub,Projects,Grasp_pow,Time_sprt,Medals,Career_sprt,Act_sprt,Fant_arts,Won_arts,Time_art,Predicted Hobby
70,1,1,1,2,1,-0.43947024142814195,-0.04850641757804155,1,0,0,0,0.0,-0.2009696074789313,Academics
72,1,1,1,2,1,1.5415614168230682,-0.7678345418887709,0,0,0,1,0.5,-0.9861951696346355,Academics
73,1,1,1,2,1,1.5415614168230682,-0.7678345418887709,1,0,0,1,0.0,-0.9861951696346355,Academics
74,1,1,1,3,1,1.5415614168230682,-0.7678345418887709,0,0,0,1,0.0,-0.9861951696346355,Academics
75,1,1,1,3,1,1.5415614168230682,-0.7678345418887709,1,0,0,0,0.0,-0.2009696074789313,Academics
76,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,0,0,0,1,0.5,-0.9861951696346355,Academics
78,1,1,1,3,0,-0.43947024142814195,-0.7678345418887709,0,0,0,1,0.0,-0.9861951696346355,Academics
79,1,1,1,2,1,-0.43947024142814195,-0.7678345418887709,0,0,0,1,0.5,0.5842559546767729,Academics
80,1,1,0,3,1,1.5415614168230682,-0.7678345418887709,0,0,0,1,0.5,-0.9861951696346355,Academics
81,1,1,1,2,1,1.5415614168230682,-0.7678345418887709,0,0,0,1,0.0,-0.2009696074789313,Academics
83,1,1,1,2,1,1.5415614168230682,0.6708217067326878,1,0,0,1,0.5,-0.9861951696346355,Academics
84,1,1,1,3,1,1.5415614168230682,0.6708217067326878,1,0,0,1,0.0,-0.9861951696346355,Academics
85,1,1,1,2,1,1.5415614168230682,-0.04850641757804155,1,0,0,1,0.0,-0.9861951696346355,Academics
86,1,1,1,2,1,-0.43947024142814195,-1.4871626661995003,0,0,0,0,0.0,-0.2009696074789313,Academics
87,1,1,1,3,1,-0.43947024142814195,-0.04850641757804155,1,0,0,1,0.5,-0.2009696074789313,Academics
88,1,1,1,2,1,-0.43947024142814195,0.6708217067326878,0,0,0,0,0.5,-0.9861951696346355,Academics
89,1,1,1,3,1,1.5415614168230682,-0.7678345418887709,1,0,0,1,0.0,-0.9861951696346355,Academics
90,1,1,1,3,1,1.5415614168230682,-0.7678345418887709,1,0,0,1,0.5,-0.9861951696346355,Academics
91,1,1,1,0,1,1.5415614168230682,-0.7678345418887709,1,0,0,0,0.5,-0.2009696074789313,Academics
92,1,1,1,2,1,1.5415614168230682,-1.4871626661995003,1,0,0,1,0.5,-0.9861951696346355,Academics
93,1,1,1,0,1,1.5415614168230682,-0.7678345418887709,1,0,0,1,0.5,-0.9861951696346355,Academics
94,1,1,0,3,0,1.5415614168230682,-1.4871626661995003,0,0,0,1,0.0,-0.9861951696346355,Academics
95,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,1,0,0,0,0.0,0.5842559546767729,Academics
96,1,1,1,2,1,-0.43947024142814195,-0.7678345418887709,0,0,0,1,0.5,-0.2009696074789313,Academics
97,1,1,1,3,1,1.5415614168230682,-1.4871626661995003,1,0,0,1,0.5,-0.9861951696346355,Academics
98,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,1,0,0,0,0.0,-0.2009696074789313,Academics
99,1,1,0,3,1,1.5415614168230682,-0.04850641757804155,0,0,0,1,0.5,-0.2009696074789313,Academics
101,1,1,1,2,1,1.5415614168230682,-1.4871626661995003,0,0,0,1,0.5,-0.9861951696346355,Academics
103,1,1,1,2,1,1.5415614168230682,-0.7678345418887709,0,0,0,1,0.5,0.5842559546767729,Academics
104,1,1,1,3,1,-0.43947024142814195,-0.7678345418887709,0,0,0,0,0.0,-0.2009696074789313,Academics
105,1,1,1,3,1,1.5415614168230682,1.3901498310434173,1,0,0,1,0.0,-0.2009696074789313,Academics
106,1,1,1,2,1,1.5415614168230682,-0.04850641757804155,1,0,0,1,0.0,0.5842559546767729,Academics
108,1,1,1,2,1,-0.43947024142814195,-0.04850641757804155,0,0,0,1,0.5,-0.9861951696346355,Academics
109,1,1,1,3,1,-0.43947024142814195,-0.7678345418887709,0,0,0,1,0.0,-0.9861951696346355,Academics
112,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,1,0,0,1,0.5,-0.9861951696346355,Academics
114,1,1,1,3,1,-0.43947024142814195,1.3901498310434173,1,0,0,0,0.5,-0.9861951696346355,Academics
115,1,1,1,2,1,1.5415614168230682,-0.7678345418887709,0,0,0,1,0.5,-0.2009696074789313,Academics
120,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,1,0,0,1,0.0,-0.9861951696346355,Academics
123,1,1,1,2,1,-0.43947024142814195,-0.7678345418887709,0,0,0,1,0.0,-0.2009696074789313,Academics
127,1,1,1,3,1,1.5415614168230682,-1.4871626661995003,0,0,0,1,0.0,-0.9861951696346355,Academics
129,1,1,1,3,1,-1.429986070553747,-0.7678345418887709,1,0,0,0,0.0,-0.9861951696346355,Academics
